,A,B,SACTRAK,PHASE2,unique_lanevals
400,185,8293,,,[1]
401,186,1435,,,[1]
402,186,6157,,,[1]
403,186,11270,,,[1]
404,187,13773,,,[1]
405,187,14228,,,[1]
406,188,9376,,,[1]
407,188,13782,,,[1]
408,189,2780,,,[1]
409,189,8304,,,[1]
410,189,8305,,,[1]
411,190,955,,,[1]
412,190,4009,,,[1]
413,190,4266,,,[1]
414,191,4651,,,[1]
415,191,13623,,,[1]
416,192,4580,,,[1]
417,192,8406,,,[1]
418,193,2780,,,[1]
419,193,4266,,,[1]
420,194,2786,,,[1]
421,194,13614,,,[1]
422,194,15187,,,[1]
423,195,2775,,,[1]
424,196,13610,,,[1]
425,196,14250,,,[1]
426,197,2776,,,[1]
427,197,2782,,,[1]
428,198,4654,,,[0 1]
429,198,8306,,,[1]
430,198,8307,,,[1]
431,199,4876,,,[1]
432,199,14245,,,[1]
433,200,2802,,,[1]
434,201,2786,,,[1]
435,201,2858,,,[1]
436,202,2282,,,[1]
437,203,2853,,,[1]
438,204,2794,,,[1]
439,204,2800,,,[1]
440,204,2854,,,[1]
441,205,4663,,,[1]
442,206,13595,,,[1]
443,206,14224,,,[1]
444,207,4391,,,[1]
445,207,13542,,,[1]
446,207,13543,,,[1]
447,208,2733,,,[1]
448,208,4391,,,[1]
449,209,2733,,,[1]
450,209,4793,,,[1]
451,209,11944,,,[1]
452,210,2719,,,[1]
453,210,4666,,,[1]
454,210,4793,,,[1]
455,211,8990,,,[1]
456,211,9290,,,[1]
457,211,13540,,,[1]
458,211,15852,,,[1]
459,212,2872,,,[1]
460,212,2874,,,[1]
461,213,4673,,,[1]
462,213,14345,,,[1]
463,214,4132,,,[1]
464,214,6257,,,[1]
465,215,2668,,,[1]
466,216,10433,,,[1]
467,216,10437,,,[1]
468,217,10945,,,[1]
469,217,11180,,,[1]
470,218,10412,,,[1]
471,218,10944,,,[1]
472,219,10456,,,[1]
473,219,10895,,,[1]
474,220,10547,,,[1]
475,221,10643,,,[1]
476,221,11203,,,[1]
477,222,10652,,,[1]
478,222,10656,,,[1]
479,223,10738,,,[1]
480,223,10783,,,[1]
481,224,11062,,,[1]
482,225,11246,,,[1]
483,226,4307,,,[1]
484,226,8249,,,[1]
485,226,14219,,,[1]
486,227,3235,,,[1]
487,227,3348,,,[1]
488,227,4586,,,[1]
489,227,8269,,,[1]
490,228,3236,,,[1]
491,228,4306,,,[1]
492,228,4307,,,[1]
493,229,3043,,,[1]
494,229,4306,,,[1]
495,229,4308,,,[1]
496,230,8236,,,[1]
497,230,8237,,,[1]
498,230,8238,,,[1]
499,231,3039,,,[1]
500,231,8239,,,[1]
501,232,2998,,,[1]
502,232,8657,,,[1]
503,233,3006,,,[1]
504,233,3040,,,[1]
505,233,3236,,,[1]
506,234,3235,,,[1]
507,234,3316,,,[1]
508,234,8270,,,[1]
509,235,3004,,,[1]
510,235,3006,,,[1]
511,235,8271,,,[1]
512,236,3011,,,[1]
513,236,4309,,,[1]
514,236,8271,,,[1]
515,237,2996,,,[1]
516,237,4312,,,[1]
517,238,4489,,,[1]
518,238,8657,,,[1]
519,239,4310,,,[1]
520,239,4429,,,[1]
521,240,4311,,,[1]
522,240,4587,,,[1]
523,241,4311,,,[1]
524,241,4588,,,[1]
525,242,3329,,,[1]
526,242,3392,,,[1]
527,242,3393,,,[1]
528,242,4588,,,[1]
529,242,14217,,,[1]
530,243,3313,,,[1]
531,243,4430,,,[1]
532,243,8268,,,[1]
533,243,14214,,,[1]
534,244,8399,,,[1]
535,245,3230,,,[1]
536,245,3313,,,[1]
537,245,14213,,,[1]
538,246,3314,,,[1]
539,246,4310,,,[1]
540,246,9356,,,[1]
541,246,14215,,,[1]
542,247,3309,,,[1]
543,247,4589,,,[1]
544,248,3017,,,[1]
545,249,2379,,,[1]
546,249,3198,,,[1]
547,250,3224,,,[1]
548,251,3196,,,[1]
549,251,3224,,,[1]
550,251,3307,,,[1]
551,252,4426,,,[1]
552,252,5079,,,[1]
553,253,4426,,,[1]
554,254,3031,,,[1]
555,254,3196,,,[1]
556,254,4427,,,[1]
557,255,3033,,,[1]
558,255,4719,,,[1]
559,256,2349,,,[1]
560,256,2379,,,[1]
561,256,4719,,,[1]
562,257,5755,,,[1]
563,257,8187,,,[1]
564,258,3029,,,[1]
565,258,14407,,,[1]
566,258,15070,,,[1]
567,259,2984,,,[1]
568,259,3306,,,[1]
569,260,3306,,,[1]
570,260,15812,,,[1]
571,261,2987,,,[1]
572,261,8191,,,[1]
573,261,13635,,,[1]
574,261,13638,,,[1]
575,262,6184,,,[1]
576,263,1433,,,[1]
577,263,2307,,,[1]
578,263,5473,,,[1]
579,264,3031,,,[1]
